time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,accel_x,accel_y,accel_z,ang_pos_x,ang_pos_y,ang_pos_z,ang_vel_x,ang_vel_y,ang_vel_z,ang_accel_x,ang_accel_y,ang_accel_z,alpha,rocket_total_mass,motor_mass,flap_ext,baro_alt,imu_accel_x,imu_accel_y,imu_accel_z,imu_ang_pos_x,imu_ang_pos_y,imu_ang_pos_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,kalman_pos_x,kalman_vel_x,kalman_accel_x,kalman_pos_y,kalman_vel_y,kalman_accel_y,kalman_pos_z,kalman_vel_z,kalman_accel_z,pos_cov_x,vel_cov_x,accel_cov_x,pos_cov_y,vel_cov_y,accel_cov_y,pos_cov_z,vel_cov_z,accel_cov_z,kalman_rpos_x,kalman_rvel_x,kalman_raccel_x,kalman_rpos_y,kalman_rvel_y,kalman_raccel_y,kalman_rpos_z,kalman_rvel_z,kalman_raccel_z
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,0.031703971644685074,9.804336461253355,0.010606974305049343,0.5160293436490307,0.028653231141633335,0.05111995705046682,-0.010149135891517065,-0.0026190074566519875,-0.0008489694136236484,0.0008266197569974977,0.015851989746959075,0.0,0.0,-1.1081224842937003e-07,-4.806108753492912e-05,-0.0066487349057622,1.5442231757304737e-08,-8.780144071747773e-06,0.000926533905438284,0.5000000000156719,5.714869468765157e-06,0.12167487684523443,1.0000000000626874,1.1235655777547857e-05,0.12167487684729064,1.0000000000626874,1.1156757101804016e-05,0.12167487684729064,-2.2399354793012648e-11,-5.973161278136707e-09,-8.959741917205061e-07,-7.260906056556865e-12,-1.9362416150818307e-09,-2.904362422622746e-07,7.069758113468867e-12,1.8852688302583645e-09,2.827903245387547e-07
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,0.11460251937636558,9.780881294311365,0.00043241153768901034,0.48060940573156996,0.01842736256467641,0.044436956263468816,-0.00999026760715533,-0.00020142110604599362,-0.0001908234033778897,-0.0011668735690671028,0.01585253488428336,0.0,0.0,-9.135816501677547e-07,-8.183298608689437e-05,-0.013027262519860399,2.1374689173309216e-07,-2.852727257942918e-06,0.003785593115969032,5.714899495968049e-06,4.125220532097218e-06,0.12167487684317824,1.1235713687230033e-05,4.125212242377138e-06,0.12167487684729064,1.1156813958354583e-05,4.125206329157821e-06,0.12167487684729064,-1.5448996339601508e-10,-1.860760889976723e-08,-1.1715772177661292e-06,-6.725661902856914e-11,-8.322136159233238e-09,-5.515512444276952e-07,-1.1961288227508585e-10,-1.6576812304689285e-08,-1.3139590730029537e-06
0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,0.007192401238555588,9.785223232401037,-0.015680897740500976,0.5061642367750924,-0.004928345037906614,0.05635942964684753,-0.012075385240939908,0.001083348631488253,0.0011591316942988353,-0.00012515379888737457,0.015852485634908736,0.0,0.0,-1.8583596308571e-06,-0.00012203838505034001,-0.02061414812355523,1.3233196042631116e-07,-2.9327766952946117e-05,0.0006123316202435716,4.125266201671572e-06,4.125210818249441e-06,0.12167487684317822,4.125274929842929e-06,4.125210290774832e-06,0.12167487684729064,4.125269016623612e-06,4.125215551653968e-06,0.12167487684729064,3.513192775028108e-10,3.638465217607363e-08,2.163833460659159e-06,6.248926863946707e-10,5.7535639868476077e-08,3.0171228254421957e-06,-4.3775328742775754e-10,-3.7420799934451995e-08,-1.699179959257273e-06
0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,-0.05458325790412248,9.786959091433328,0.008401073743612871,0.47998814923428107,0.037531907383219654,0.029063807191751435,0.00287309317790361,0.0002500562443372371,-0.00026300933150976184,-0.0034589153996452946,0.015852180938826947,0.0,0.0,-3.036961985952547e-06,-0.00010896418026770029,-0.01810728012902736,4.690915639195663e-08,2.755527578636807e-05,0.013083627185588191,4.125256487903939e-06,4.125255058751823e-06,0.12167487684317822,4.125272978240623e-06,4.125255079488538e-06,0.12167487684729064,4.125278239119759e-06,4.125205419378122e-06,0.12167487684729064,1.3705987866106845e-09,9.450593781806868e-08,3.5319573123375913e-06,7.751908498317518e-10,4.931236929839293e-08,1.5773152406864896e-06,-8.468300751880558e-09,-5.591740194491521e-07,-2.0627915667407428e-05
0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,-0.021833589089944944,9.76816736498055,-0.020481423805188616,0.5115443700031036,0.004687123596161714,0.05932778593750114,-0.007491797143907544,0.00044556631402441866,-0.00159472778838221,-0.002792866567245347,0.015851994372598325,0.0,0.0,-4.209908194887738e-06,-0.0001353644861604878,-0.023105544319829915,2.3523532246407263e-07,-9.780549424300202e-06,0.007850036523201206,4.1253007280413126e-06,4.125248447143927e-06,0.12167487684317822,4.125317766954329e-06,4.125238395849865e-06,0.12167487684729064,4.125268106843913e-06,4.125215894410124e-06,0.12167487684729064,4.872084564735541e-09,2.567514285692141e-07,7.339829325931955e-06,-7.173302006123071e-09,-3.893463923389765e-07,-1.2055980463725026e-05,-3.000876459378139e-08,-1.5610548341362254e-06,-4.449655766061806e-05
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,-0.023093306328448592,9.79500149758797,0.01215268809464243,0.47085544636234816,-0.007745998080833036,0.04293862817491749,-0.015728881228444083,-1.9579659320000546e-05,-0.0007924534069435187,-0.0005247406943140934,0.015851828605483457,0.0,0.0,-5.6866483553825e-06,-0.00017525303972624573,-0.03049125817946263,1.8226642302954745e-07,-4.415187065076272e-06,0.010540239471400613,4.125294116487966e-06,4.1252089700115654e-06,0.12167487684317822,4.125301083315656e-06,4.125206370471842e-06,0.12167487684729064,4.125278581875915e-06,4.125207878790343e-06,0.12167487684729064,7.586124361120775e-09,3.2035095310661926e-07,7.094847145022211e-06,-2.0438931051827858e-08,-8.996670106489619e-07,-2.1800516422937706e-05,-5.3632497913263595e-08,-2.2632881249315077e-06,-5.092859085666206e-05
0.060000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,-0.19562048933987422,9.762922187837537,0.03718153889725016,0.516321795535699,0.019493833641429544,0.03727816280829696,0.01337704787411763,-0.0009731453343315159,-0.00038506899786970036,-0.0007808122179123505,0.01585091798474408,0.0,0.0,-7.238136569976387e-06,-0.00011242298515961728,-0.018428729483243395,2.898768274675467e-07,3.4089951523381556e-05,0.019645974506075626,4.125254639681312e-06,4.1252081883837936e-06,0.12167487684317822,4.125269057937633e-06,4.125211682233945e-06,0.12167487684729064,4.125270566256134e-06,4.125209959003938e-06,0.12167487684729064,-8.811872536879795e-09,-3.6897956284162344e-07,-9.198469393219025e-06,-3.8396134071871955e-08,-1.4175171621101378e-06,-2.8226406616338653e-05,-9.476062104679702e-08,-3.3801805544906835e-06,-6.395002843592089e-05
0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,-0.058112623865697384,9.79151705875132,0.013553989850364967,0.4736730105261468,0.02123293206596085,0.05803975802136548,-0.009541794962742692,-0.0018599446807685566,0.0010297286328684817,-0.0008806854685902328,0.015850604438601444,0.0,0.0,-8.438796689840212e-06,-0.00013714791121532876,-0.023014552571302443,5.084953168667987e-07,-1.3525551001876982e-05,0.012309099245959278,4.125253858059989e-06,4.125212260890527e-06,0.12167487684317822,4.125274369699736e-06,4.1252224082210196e-06,0.12167487684729064,4.125272646469729e-06,4.125224782862157e-06,0.12167487684729064,-7.791290629584467e-08,-2.626208325393698e-06,-4.9803773567299996e-05,-1.7955073560362697e-08,-4.987517389458311e-07,-5.703233158449124e-06,-1.623816560654108e-07,-5.040499514829947e-06,-8.309366838186617e-05
0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,0.024388784873781832,9.79792750210852,0.0006842986278786705,0.48171472171197965,0.009770021642360911,0.04584259295754752,0.00404860134886315,-0.001431016453696956,-0.0009854015740301404,-0.00019436668529768206,0.015850639281236385,0.0,0.0,-9.7476152465707e-06,-0.0001175875664478296,-0.019254923519765915,3.9445617801324326e-07,-1.5796654163517317e-05,0.013582084518887403,4.125257930533122e-06,4.125209370236094e-06,0.12167487684317822,4.125285095686811e-06,4.125213826494692e-06,0.12167487684729064,4.125287470327948e-06,4.1252177848522516e-06,0.12167487684729064,-1.8642644884092895e-07,-5.487894714526444e-06,-8.92088424261061e-05,-7.82406766980555e-08,-2.1860392426202074e-06,-3.288168762950435e-05,-2.274705712025092e-07,-6.183460012320847e-06,-8.829550743072177e-05
0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,16.128,0,0.0754426575121091,9.791242698805556,0.0028351720808673414,0.4980235836964315,-0.009890837962079381,0.05180073012543131,0.009587508044382333,-0.001309568110162067,-3.067990067908753e-05,0.002830747568274577,0.015850878034926033,0.0,0.0,-1.079433567052579e-05,-7.703775425156191e-05,-0.011505588151328596,2.116790291796334e-07,-3.2995525114065646e-05,0.012093451010638646,4.125255039902538e-06,4.125239827441993e-06,0.12167487684317822,4.125276513960483e-06,4.125245387925628e-06,0.12167487684729064,4.125280472318043e-06,4.125210817246992e-06,0.12167487684729064,-3.5646977209936187e-07,-9.33275992816016e-06,-0.00013351931133936284,-1.0413766247957558e-07,-2.5786708788030796e-06,-3.3839315698240735e-05,-5.2651831052981073e-08,-6.364689152071789e-07,8.194661066976343e-06
